dataset,id,n_samples
Argoverse 2,7039e410-b5ab-35aa-96bc-2c4b89d3c5e3,160
Argoverse 2,72cf3ca1-1a9e-3254-bca0-29c62521e454,160
Argoverse 2,7606de8d-486c-4916-9cbb-002ee966f834,160
Argoverse 2,76916359-96f4-3274-81fe-bb145d497c11,160
Argoverse 2,77574006-881f-3bc8-bbb6-81d79cf02d83,160
Argoverse 2,78683234-e6f1-3e4e-af52-6f839254e4c0,160
Argoverse 2,78da7b7e-8ddf-3c7d-8716-eaa890106dd3,160
Argoverse 2,78f7cb5c-9d51-34f0-b356-9b3d83263c75,160
Argoverse 2,7a2c222d-addc-30b2-aac6-596cb65a22e3,160
Argoverse 2,7dbc2eac-5871-3480-b322-246e03d954d2,160
Argoverse 2,7de2e535-81df-3d5f-a5ca-62e4b940eb54,160
Argoverse 2,7e4d67b3-c3cc-3288-afe5-043602ea3c70,160
Argoverse 2,7fab2350-7eaf-3b7e-a39d-6937a4c1bede,160
Argoverse 2,858d739b-a0ba-35aa-bafc-4f7988bcad17,160
Argoverse 2,8749f79f-a30b-3c3f-8a44-dbfa682bbef1,160
Argoverse 2,87ca3d9f-f317-3efb-b1cb-aaaf525227e5,160
Argoverse 2,88f47a10-87b4-3ea8-a0c7-a07d825b647d,160
Argoverse 2,91aab547-1912-3b8e-8e7f-df3b202147bf,160
Argoverse 2,92b900b1-ac4a-3d41-b118-e42c66382c91,160
Argoverse 2,95bf6003-7068-3a78-a0c0-9e470a06e60f,160
Argoverse 2,96dd6923-994c-3afe-9830-b15bdfd60f64,160
Argoverse 2,9a448a80-0e9a-3bf0-90f3-21750dfef55a,160
Argoverse 2,9bb1f857-8b61-369f-a537-484c1323ae32,160
Argoverse 2,9e9bcfb7-601d-3d80-bc12-ef7025174beb,160
Argoverse 2,9f871fb4-3b8e-34b3-9161-ed961e71a6da,160
Argoverse 2,a060c4c1-b9fc-39c1-9d30-d93a124c9066,160
Argoverse 2,a1589ae2-2678-310e-91cc-c4b512cd7fa5,160
Argoverse 2,a33a44fb-6008-3dc2-b7c5-2d27b70741e8,160
Argoverse 2,a7636fca-4d9e-3052-bef2-af0ce5d1df74,160
Argoverse 2,a91d4c7b-bf55-3a0e-9eba-1a43577bcca8,160
Argoverse 2,adf9a841-e0db-30ab-b5b3-bf0b61658e1e,160
Argoverse 2,b19f3c1a-a84a-3a2d-8d1b-8a4ae201020b,160
Argoverse 2,b2053fdc-0b94-30bc-aee7-5bc6fb7e9f52,160
Argoverse 2,b213af37-7d89-342d-ae39-8a3c72159a01,160
Argoverse 2,b50c4763-5d1e-37f4-a009-2244aeebabcd,160
Argoverse 2,b5a7ff7e-d74a-3be6-b95d-3fc0042215f6,160
Argoverse 2,b6500255-eba3-3f77-acfd-626c07aa8621,160
Argoverse 2,b6e967f6-92bc-3bf5-99c9-1b0c4649fd67,160
Argoverse 2,b8489c02-60d0-3f44-a3b4-9de62830d666,160
Argoverse 2,b87683ae-14c5-321f-8af3-623e7bafc3a7,160
Argoverse 2,ba67827f-6b99-3d2a-96ab-7c829eb999bb,160
Argoverse 2,bbd19ca1-805a-3c22-8df3-cd7501aa06f3,160
Argoverse 2,bd90cd1a-38b6-33b7-adec-ba7d4207a8c0,160
Argoverse 2,bdb9d309-f14b-3ff6-ad1f-5d3f3f95a13e,160
Argoverse 2,bf360aeb-1bbd-3c1e-b143-09cf83e4f2e4,160
Argoverse 2,bf382949-3515-3c16-b505-319442937a43,160
Argoverse 2,c222c78d-b574-4b9d-82e1-96a4f3f8bb27,160
Argoverse 2,c2d44a70-9fd4-3298-ad0a-c4c9712e6f1e,160
Argoverse 2,c85a88a8-c916-30a7-923c-0c66bd3ebbd3,160
Argoverse 2,c865c156-0f26-411c-a16c-be985333f675,160
Argoverse 2,c8ec7be0-92aa-3222-946e-fbcf398c841e,160
Argoverse 2,cae56e40-8470-3c9c-af75-6e444189488f,160
Argoverse 2,cd22abca-9150-3279-87a4-cb00ba517372,160
Argoverse 2,cf5aaa11-4f92-3377-a7a2-861f305023eb,160
Argoverse 2,d1395998-7e8a-417d-91e9-5ca6ec045ee1,159
Argoverse 2,d3ca0450-2167-38fb-b34b-449741cb38f3,160
Argoverse 2,d46ff5df-95e8-32da-a0d7-87f7b976a959,160
Argoverse 2,d5d6f11c-3026-3e0e-9d67-c111233e22de,160
Argoverse 2,d5fa4d54-74ba-369c-a758-636441ad7f07,160
Argoverse 2,d770f926-bca8-31de-9790-73fbb7b6a890,160
Argoverse 2,d89f80be-76d0-3853-8daa-76605cf4ce5e,160
Argoverse 2,da036982-92bf-36a8-b880-4ccf4e20b74e,160
Argoverse 2,dafe14f5-825c-4e7a-9009-6dfdfdd5b030,160
Argoverse 2,dc9077b9-2fe0-3d18-9b97-8067ff090874,160
Argoverse 2,de56b100-508b-3479-81fe-735349f8e8de,160
Argoverse 2,de9cf513-a0cd-3389-bc79-3f9f6f261317,160
Argoverse 2,ded5ef6e-46ea-3a66-9180-18a6fa0a2db4,160
Argoverse 2,dfc32963-1524-34f4-9f5e-0292f0f223ae,160
Argoverse 2,dfc6d65f-20f5-389d-a5cd-81c1c7ecb11f,160
Argoverse 2,e0ea281b-6956-3605-b720-71b54ec87d25,160
Argoverse 2,e13c06cb-cd01-380e-946f-6d92ac1af49d,160
Argoverse 2,e1d68dde-22a9-3918-a526-0850b21ff2eb,160
Argoverse 2,e2e921fe-e489-3656-a0a2-5e17bd399ddf,160
Argoverse 2,e42aa296-0e5d-4733-87ec-131a82f917bc,160
Argoverse 2,e50e7698-de3d-355f-aca2-eddd09c09533,160
Argoverse 2,e72ef05c-8b94-3885-a34f-fff3b2b954b4,160
Argoverse 2,e8c9fd64-fdd2-422d-a2a2-6f47500d1d12,160
Argoverse 2,ecbe6def-7560-352c-8822-b2b92613e1e4,160
Argoverse 2,eec284b2-840a-3c75-aa42-04d2e309bbe1,160
Argoverse 2,f1275002-842e-3571-8f7d-05816bc7cf56,160
Argoverse 2,f2576c8a-da9b-450e-88cf-a70af1b0eadf,160
Argoverse 2,f292cc5c-7a90-360d-b62a-074c643bdf59,160
Argoverse 2,f3cd0d0d-8b71-3266-9732-d9f0d5778eb6,160
Argoverse 2,f4c94798-4d77-36ab-bdc5-c1194e5e7aff,160
Argoverse 2,f668074d-d6c6-3ea7-a7b5-aad0a1203b03,160
Argoverse 2,f6cc0ebf-fc6a-3bf2-8bcb-76d8c43f194e,160
Argoverse 2,fbd62533-2d32-3c95-8590-7fd81bd68c87,160
Argoverse 2,fbee355f-8878-31fa-8ac8-b9a45a3f130a,160
Argoverse 2,ff0dbfc5-8a7b-3a6e-8936-e5e812e45408,160
DurLAR,DurLAR_20210716_S,60
DurLAR,DurLAR_20210901_S,60
DurLAR,DurLAR_20211012_S,60
DurLAR,DurLAR_20211208_S,60
DurLAR,DurLAR_20211209_S,60
Newer College,01_short_experiment_registered,15301
Newer College,02_long_experiment_registered,26559
Newer College,05_quad_dynamics_registered,3954
Newer College,06_dynamic_spinning_registered,1197
Newer College,gt-mine-easy_tum,142
Newer College,gt-mine-hard_tum,1904
Newer College,gt-mine-medium_tum,149
Newer College,gt-nc-cloister_tum,2787
Newer College,gt-nc-park_tum,15694
Newer College,gt-nc-quad-easy_tum,1988
Newer College,gt-nc-quad-medium_tum,1907
Newer College,gt-nc-stairs_tum,1190
Newer College,gt_math_easy_tum,2160
Newer College,gt_math_hard_tum,2438
Newer College,gt_math_medium_tum,1770
